pdf_key_I_H_U;pdf_freq_I_H_U
6.0;1
8.0;1
12.0;1
16.0;1
24.0;4
25.0;1
26.0;4
27.0;1
28.0;3
29.0;4
30.0;3
31.0;3
32.0;1
33.0;5
34.0;5
35.0;1
36.0;3
37.0;7
38.0;3
39.0;7
40.0;5
41.0;2
42.0;3
43.0;5
44.0;3
45.0;3
46.0;9
47.0;8
48.0;3
49.0;4
50.0;9
51.0;8
52.0;10
53.0;11
54.0;6
55.0;4
56.0;13
57.0;14
58.0;13
59.0;10
60.0;7
61.0;19
62.0;12
63.0;14
64.0;14
65.0;11
66.0;13
67.0;13
68.0;18
69.0;9
70.0;12
71.0;3
72.0;10
73.0;9
74.0;14
75.0;5
76.0;6
77.0;7
78.0;14
79.0;12
80.0;2
81.0;5
82.0;3
83.0;1
84.0;3
85.0;3
86.0;2
88.0;3
89.0;1
92.0;1
